,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
602,,DispreferenceFirst,dispreferenceFirst,-0.6476683937823834,,,,,1544,pigep,,574306,,,Devoicing,625,p,Final,,
385,,DispreferenceFirst,dispreferenceFirst,-0.9624639076034649,,,,,1039,gutob,,194786,,,Voicing,408,b,Final,,
213,,DispreferenceFirst,dispreferenceFirst,-0.7886435331230284,,,,,1268,gutop,,416248,,,Devoicing,236,p,Final,,
183,,DispreferenceFirst,dispreferenceFirst,-0.6715916722632639,,,,,1489,pigep,,361388,,,Devoicing,206,p,Final,,
551,,DispreferenceFirst,dispreferenceFirst,-0.5787037037037037,,,,,1728,dikebe,,484933,,,Voicing,574,b,NonFinal,,
382,,DispreferenceFirst,dispreferenceFirst,-0.7880220646178093,,,,,1269,dogib,,190737,,,Voicing,405,b,Final,,
446,,DispreferenceFirst,dispreferenceFirst,-0.9514747859181731,,,,,1051,degob,,301027,,,Voicing,469,b,Final,,
1126,,DispreferenceFirst,dispreferenceFirst,-0.7535795026375283,,,,,1327,pidop,,708401,,,Devoicing,1149,p,Final,,
470,,DispreferenceFirst,dispreferenceFirst,-0.916590284142988,,,,,1091,bogeb,,338739,,,Voicing,493,b,Final,,
660,,DispreferenceFirst,dispreferenceFirst,-0.20571898786257972,,,,,4861,,,655211,,,Devoicing,683,,Final,,
730,,DispreferenceFirst,dispreferenceFirst_inverse,-0.9578544061302682,,,,,1044,todub,,207965,,,Voicing,753,b,Final,,
1129,,DispreferenceFirst,dispreferenceFirst,-0.36791758646063283,,,,,2718,pigep,,714050,,,Devoicing,1152,p,Final,,
672,,DispreferenceFirst,dispreferenceFirst_inverse,-1.0351966873706004,,,,,966,maybe,,98346,,,Voicing,695,b,NonFinal,,
882,,DispreferenceFirst,dispreferenceFirst,-0.7052186177715092,,,,,1418,gotepe,,229039,,,Devoicing,905,p,NonFinal,,
930,,DispreferenceFirst,dispreferenceFirst,-0.526592943654555,,,,,1899,bogeb,,305385,,,Voicing,953,b,Final,,
768,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7002801120448179,,,,,1428,degope,,271373,,,Devoicing,791,p,NonFinal,,
852,,DispreferenceFirst,dispreferenceFirst,-0.25621316935690497,,,,,3903,dokub,,171009,,,Voicing,875,b,Final,,
1006,,DispreferenceFirst,dispreferenceFirst,-0.39093041438623927,,,,,2558,gutob,,440670,,,Voicing,1029,b,Final,,
376,,DispreferenceFirst,dispreferenceFirst,-1.0224948875255624,,,,,978,bidob,,182039,,,Voicing,399,b,Final,,
323,,DispreferenceFirst,dispreferenceFirst,-0.8389261744966443,,,,,1192,dikep,,605643,,,Devoicing,346,p,Final,,
572,,DispreferenceFirst,dispreferenceFirst,-0.835421888053467,,,,,1197,gutop,,530734,,,Devoicing,595,p,Final,,
931,,DispreferenceFirst,dispreferenceFirst,-0.7077140835102619,,,,,1413,degob,,306955,,,Voicing,954,b,Final,,
1012,,DispreferenceFirst,dispreferenceFirst,-0.7158196134574087,,,,,1397,tekupe,,450738,,,Devoicing,1035,p,NonFinal,,
211,,DispreferenceFirst,dispreferenceFirst,-0.8278145695364238,,,,,1208,pidop,,412948,,,Devoicing,234,p,Final,,
42,,DispreferenceFirst,dispreferenceFirst,-1.002004008016032,,,,,998,tekub,,143378,,,Voicing,65,b,Final,,
44,,DispreferenceFirst,dispreferenceFirst,-0.8347245409015025,,,,,1198,todipe,,146497,,,Devoicing,67,p,NonFinal,,
20,,DispreferenceFirst,dispreferenceFirst,-0.800640512409928,,,,,1249,dogipe,,106365,,,Devoicing,43,p,NonFinal,,
1168,,DispreferenceFirst,dispreferenceFirst,-0.6802721088435374,,,,,1470,dogip,,779808,,,Devoicing,1191,p,Final,,
159,,DispreferenceFirst,dispreferenceFirst,-0.8143322475570033,,,,,1228,pigepe,,322205,,,Devoicing,182,p,NonFinal,,
118,,DispreferenceFirst,dispreferenceFirst,-0.5868544600938967,,,,,1704,dikepe,,261076,,,Devoicing,141,p,NonFinal,,
356,,DispreferenceFirst,dispreferenceFirst,-0.9578544061302682,,,,,1044,bogeb,,146045,,,Voicing,379,b,Final,,
661,,DispreferenceFirst,dispreferenceFirst_inverse,-0.5249343832020997,,,,,1905,bumblebee,,80509,,,Voicing,684,b,NonFinal,,
963,,DispreferenceFirst,dispreferenceFirst,-0.6954102920723226,,,,,1438,todipe,,364504,,,Devoicing,986,p,NonFinal,,
837,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7704160246533128,,,,,1298,pigepe,,383753,,,Devoicing,860,p,NonFinal,,
1146,,DispreferenceFirst,dispreferenceFirst,-0.9372071227741331,,,,,1067,bikup,,741235,,,Devoicing,1169,p,Final,,
