,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
1060,,DispreferenceFirst,dispreferenceFirst,-0.5417118093174431,,,,,1846,tekube,,575796,,,Voicing,1083,b,NonFinal,,
1176,,DispreferenceFirst,dispreferenceFirst,-0.693000693000693,,,,,1443,pidop,,793397,,,Devoicing,1199,p,Final,,
176,,DispreferenceFirst,dispreferenceFirst,-0.6468305304010349,,,,,1546,tekup,,348670,,,Devoicing,199,p,Final,,
626,,DispreferenceFirst,dispreferenceFirst,-0.9216589861751152,,,,,1085,tekup,,608550,,,Devoicing,649,p,Final,,
833,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7230657989877078,,,,,1383,gutope,,377444,,,Devoicing,856,p,NonFinal,,
454,,DispreferenceFirst,dispreferenceFirst,-0.8756567425569177,,,,,1142,dikepe,,311415,,,Devoicing,477,p,NonFinal,,
644,,DispreferenceFirst,dispreferenceFirst,-0.9319664492078286,,,,,1073,todube,,632165,,,Voicing,667,b,NonFinal,,
415,,DispreferenceFirst,dispreferenceFirst,-0.9276437847866419,,,,,1078,goteb,,252426,,,Voicing,438,b,Final,,
161,,DispreferenceFirst,dispreferenceFirst,-1.0810810810810811,,,,,925,dokub,,324515,,,Voicing,184,b,Final,,
513,,DispreferenceFirst,dispreferenceFirst,-0.32894736842105265,,,,,3040,pidobe,,414636,,,Voicing,536,b,NonFinal,,
1072,,DispreferenceFirst,dispreferenceFirst,-0.5621135469364812,,,,,1779,todup,,602930,,,Devoicing,1095,p,Final,,
554,,DispreferenceFirst,dispreferenceFirst,-0.8547008547008547,,,,,1170,degobe,,490562,,,Voicing,577,b,NonFinal,,
522,,DispreferenceFirst,dispreferenceFirst,-0.7905138339920948,,,,,1265,degop,,427813,,,Devoicing,545,p,Final,,
276,,DispreferenceFirst,dispreferenceFirst,-0.778816199376947,,,,,1284,gutop,,523598,,,Devoicing,299,p,Final,,
92,,DispreferenceFirst,dispreferenceFirst,-0.41169205434335115,,,,,2429,bugipe,,220674,,,Devoicing,115,p,NonFinal,,
855,,DispreferenceFirst,dispreferenceFirst,-0.397456279809221,,,,,2516,gutob,,178498,,,Voicing,878,b,Final,,
336,,DispreferenceFirst,dispreferenceFirst,-0.7309941520467836,,,,,1368,dokupe,,117871,,,Devoicing,359,p,NonFinal,,
258,,DispreferenceFirst,dispreferenceFirst,-0.7342143906020558,,,,,1362,tekube,,494843,,,Voicing,281,b,NonFinal,,
329,,DispreferenceFirst,dispreferenceFirst,-0.6414368184733804,,,,,1559,bidop,,616011,,,Devoicing,352,p,Final,,
451,,DispreferenceFirst,dispreferenceFirst,-0.8976660682226212,,,,,1114,pigeb,,307335,,,Voicing,474,b,Final,,
25,,DispreferenceFirst,dispreferenceFirst,-0.3835826620636747,,,,,2607,dogib,,114623,,,Voicing,48,b,Final,,
826,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7178750897343862,,,,,1393,todib,,364806,,,Voicing,849,b,Final,,
468,,DispreferenceFirst,dispreferenceFirst,-0.724112961622013,,,,,1381,pidope,,336070,,,Devoicing,491,p,NonFinal,,
1029,,DispreferenceFirst,dispreferenceFirst,-0.42140750105351876,,,,,2373,tekup,,499489,,,Devoicing,1052,p,Final,,
691,,DispreferenceFirst,dispreferenceFirst_inverse,-0.8257638315441783,,,,,1211,bikub,,137278,,,Voicing,714,b,Final,,
178,,DispreferenceFirst,dispreferenceFirst,-0.794912559618442,,,,,1258,todibe,,351320,,,Voicing,201,b,NonFinal,,
1139,,DispreferenceFirst,dispreferenceFirst,-0.6082725060827251,,,,,1644,dokube,,731338,,,Voicing,1162,b,NonFinal,,
701,,DispreferenceFirst,dispreferenceFirst_inverse,-0.5197505197505198,,,,,1924,dikepe,,152296,,,Devoicing,724,p,NonFinal,,
658,,DispreferenceFirst,dispreferenceFirst,-0.9587727708533078,,,,,1043,dikep,,650192,,,Devoicing,681,p,Final,,
770,,DispreferenceFirst,dispreferenceFirst_inverse,-0.5970149253731343,,,,,1675,gutope,,275233,,,Devoicing,793,p,NonFinal,,
772,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7674597083653109,,,,,1303,bidope,,278012,,,Devoicing,795,p,NonFinal,,
221,,DispreferenceFirst,dispreferenceFirst,-0.6013229104028863,,,,,1663,bugip,,431555,,,Devoicing,244,p,Final,,
364,,DispreferenceFirst,dispreferenceFirst,-0.7331378299120235,,,,,1364,bugipe,,166112,,,Devoicing,387,p,NonFinal,,
1018,,DispreferenceFirst,dispreferenceFirst,-0.2420135527589545,,,,,4132,gotebe,,466187,,,Voicing,1041,b,NonFinal,,
250,,DispreferenceFirst,dispreferenceFirst,-0.5249343832020997,,,,,1905,dogibe,,480266,,,Voicing,273,b,NonFinal,,
315,,DispreferenceFirst,dispreferenceFirst,-0.7352941176470589,,,,,1360,potibe,,589916,,,Voicing,338,b,NonFinal,,
1040,,DispreferenceFirst,dispreferenceFirst,-0.34782608695652173,,,,,2875,pigebe,,530354,,,Voicing,1063,b,NonFinal,,
741,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7751937984496124,,,,,1290,dogipe,,224862,,,Devoicing,764,p,NonFinal,,
972,,DispreferenceFirst,dispreferenceFirst,-0.7457121551081283,,,,,1341,pidope,,380001,,,Devoicing,995,p,NonFinal,,
645,,DispreferenceFirst,dispreferenceFirst,-0.9140767824497258,,,,,1094,gutop,,633575,,,Devoicing,668,p,Final,,
1088,,DispreferenceFirst,dispreferenceFirst,-0.5668934240362812,,,,,1764,bugibe,,635035,,,Voicing,1111,b,NonFinal,,
123,,DispreferenceFirst,dispreferenceFirst,-0.777000777000777,,,,,1287,tekupe,,267965,,,Devoicing,146,p,NonFinal,,
365,,DispreferenceFirst,dispreferenceFirst,-0.777000777000777,,,,,1287,bugib,,167541,,,Voicing,388,b,Final,,
1112,,DispreferenceFirst,dispreferenceFirst,-0.819000819000819,,,,,1221,bikube,,686605,,,Voicing,1135,b,NonFinal,,
917,,DispreferenceFirst,dispreferenceFirst,-0.4004805766920304,,,,,2497,dikepe,,285498,,,Devoicing,940,p,NonFinal,,
933,,DispreferenceFirst,dispreferenceFirst,-0.6887052341597796,,,,,1452,dokupe,,310004,,,Devoicing,956,p,NonFinal,,
